printer,印刷業者
process,過程、步驟
processor,加工機、處理機
production,生產；產量
program,安排節目;設計電腦程式
queue,行列、髮辮
recovery,復原
record,紀錄
resolution,決心
ring,右邊；正當
ring,搖鈴；包圍
server,伺服器
show,出示;陳列;露面
slide,滑動；滑行
slide,幻燈片
sort,種類；某種人
sort,分類；挑選：整理
specification,規格、說明書
software,軟體
statement,陳述;聲明
strategy,戰略、對策
star,使成主角;付錢以便獲準繼續玩;主演
storage,貯藏
structure,結構、構造
switch,改變立場
system,組織系統;主義;順序;宇宙
table,桌子;表格;目錄
technology,工藝、技術
task,任務
terminal,航空站
text,正文
upgrade,升級
upload,向上負載
utility,效用
utilize,利用
virus,病毒
variable,變數
virtual,實質上的
virtually,事實上、幾乎
