click,使恍然大悟
client,客戶
communication,通訊
compatible,協調的, 並存的
community,公眾, 社區
compile,編譯
computing,計算
content,內容物;內容;要旨;容量;容積;滿足;贊
constant,不斷的;不變的;可靠的
control,控制;指揮;抑制;調節
conversion,變換
core,果核
core,去核
copyright,版權
cost,值
cracker,餅乾
culture,文化
cycle,循環, 週期
date,年代
demand,不容否定的要求;請求;追問;召喚;要
design,設計
digital,數字的
disaster,災害
direct,直接的 ; 指揮
display,陳列/ 展覽
distributed,分散的
distribute,散佈
download,下載
domain,領土, 領域
due,應得物(非物質之東西)
DVD= digital video disk/digital versatile disk,光碟
dynamic,有活力的
e-mail,電子郵件
engineering,設計
enterprise,企業
exchange,交換;互換;兌換;互調就任
executive,行政官
feedback,回饋的信息
file,文件/歸檔
field,原野 ; 田野 ; 牧場
frame,裝上框子/ 框子
