function,功能；起作用
hacker,電腦駭客
hide,隱藏
host,主人;節目主持人;【電腦】主機
image,影像
impact,衝突;衝擊;影響
inform,通知;報告;鼓吹;充滿;通知
information,資訊
infrastructure,基礎公共建設
input,投入
intelligence,智慧;理解力
Internet,網際網路
keyboard,鍵盤樂器
label,標籤，歸類
language,文體;專用語;聲音;表達方式;粗話;語
link,連接;聯合;連接
literacy,有文化
machine,機器
management,手段
marketing,行銷
medium,藝術之形式;媒介
memory,記憶;紀念;記憶裝置
menu,菜單
method,方法；條理
microphone,麥克風
microwave,微波爐
microwave,微波
model,模型
monitor,監視器
mouse,老鼠
network,網狀系統，交際
notebook,筆記本
object,物體;目的;反對;受詞
operational,操作的
output,出產，產量
pad,填塞
password (also watchword),密碼，口令
patch,片
patch,補
patent,專利權
patent,得到...專利權
patent,顯然的;享有專利的
payment,支付;報酬
plan,計劃;方法;草案
presentation,贈送，上演
private,私人的；個人的
procedure,程序
