legal and political feasibility,法律與政治可行性
liability,賠償責任
leveraging investment in IT,在資訊科技以槓桿運作投資
line printer,列式印表機
link page,連結頁面
linked list,鍵結串列
listbox,清單方塊
local variable,區域變數
LMS,學習管理系統(英文簡稱)
localization,在地化;本土化
lock in customer and supplier,鎖定顧客與供應商
logic unit,邏輯單元
logical bomb,邏輯炸彈
logical data element,邏輯資料元素
logical model,邏輯模型
long tail marketing,長尾行銷
low level language,低階語言
machine control,機器控制
machine language,機器語言
machine learning,機器學習
Macintosh operating system,麥金塔作業系統
magnetic,磁性的;吸引力
magnetic disk,磁碟片
magnetic storage medium,磁性儲存媒體
magnetic stripe,磁條
magnetic tape,磁帶
mailing list,郵件論壇:郵件清單
mainframe,大型電腦;大型主機
mainframe system,大型主機系統
maintenance,維護
malware,惡意軟體程式
managed security service provider,安全管理服務的供應商
management involvement,管理參與
management support system,管理支援系統
managing information technology,管理資訊科技
manufacturing execution system,製造執行系統
manufacturing information system,製造資訊系統
margin,頁邊的空白;湖(池)的邊緣;利潤
market creator,市場創建者
market entry cost,市場進入成本
marketing information system,行銷資訊系統
mashups,一種混搭網路的應用程式稱呼(s)
mask ROM,罩式 ROM
mass customization,大量客製化
master drive,主硬碟;開機硬碟
MD,訊息摘要(英文簡稱)
media,媒體
menu cost,單選成本
MES,製造執行系統(英文簡稱)
message digest,訊息摘要
metropolitan area network,都會網路
micro piezo,微針點壓電
microcomputer,微電腦
micropayment,微付費
micropayment system,微付費系統
microwave transmission,微波傳輸
middle management,中階管理層
middleware,中介軟體
millions of instructions per second,每秒百萬指令
minicomputer,小型電腦;迷你電腦
MIPS,每秒百萬指令(英文簡稱)
mirror margins,左右對稱(s)
MIS audit,資訊管理系統稽核(審計)
mobile commerce,行動電子商務
model base,模式庫
modulator-demodulator,調變-解調器
Moore's law,摩爾定律
motion,運動;移動
MSSP,安全管理服務的供應商(英文簡稱)
multicore processor,多核心處理器
multidimensional model,多維度模型
multinational enterprise,多國企業
multiple input multiple output,多重輸入多重輸出
multi-processing system,多元處理系統
multi-programming system,多元程式系統
multipurpose internet mail extensions,多用途網際網路郵件擴充(協定)
multitasking,多工
multitouch,多點觸控
musical instrument digital interface,樂器數位介面
nanotechnology,奈米科技
NAP,網路存取點(基地)(英文簡稱)
narrow column tooltip,窄欄工具提示
national information infrastructure,國家資訊基礎建設
National Science Foundation,國家科學基金會
natural language,自然語言
navigation bar,導覽列
net marketplace,網路市集
netbook,小筆電
network access point,網路存取點(基地)
network architecture,網路架構
network computer,網路電腦
network computing,網路計算
network economics,網路經濟
network interoperability,網路互連性
network resource,網路資源
network structure,網路式架構
network topology,網路拓樸
neural network,類神經網路
newsgroup,新聞群組
noise reduction,雜訊減少
non-breaking space,不間斷空間
non-contiguous,不相鄰的範圍
non-impact printer,非撞擊式印表機
non-ionizing,非游離輻射
nonobvious relationship awareness,不明顯關聯察覺
nonobviousness,非顯而易見性:不明顯
nonvolatile memory,非揮發性記憶體
NORA,不明顯關聯察覺(英文簡稱)
notebook computer,筆記型電腦
number format,數值格式
numeric format,數字格式
object linking and embedding,物件連結與崁入
object program,目的程式
object-oriented,物件導向
object-oriented database,物件導向式資料庫
object-oriented DBMS,物件導向式資料庫管理系統
object-oriented development,物件導向開發
object-oriented model,物件導向模型
object-relational DBMS,物件關聯式資料庫管理系統
OEM,委託製造廠;貼牌生產(製造廠);初始設備製造廠
offshore software outsourcing,軟體境外外包
onboard VGA,內含顯示晶片(VGA)
on-demand computing,即需即運算;隨需運算
online,線上
online e-mail,線上電子郵件
online game,線上遊戲
online transaction processing system,線上交易處理系統
OODB,物件導向式資料庫(英文簡稱)
open source software,開放原始碼軟體
open system interconnection,開放式系統互聯
open system interconnection model,開放系統連結模式(型)
operand,運算元
operation code,運算碼
operation support system,營運支援系統
operational CRM,操作型顧客關係管理
operational feasibility,操作(或運營)可行性
operational management,經營管理層
operator,運算(符號)子;操作員
opt in,選擇加入:進入控制;事前同意
opt out,選擇退出;脫離控制
optical character recognition,光學字元辨識軟體
optical input device,光學輸入設備
optical scanning,光學掃描
optical storage device,光學儲存設備
optimization analysis,最佳化分析
Oracle,甲骨文(一種知名軟體品牌)
ordered list,有序串列
organizational analysis,組織分析
organizational impact analysis,組織影響分析
original equipment manufacturer,貼牌生產(廠);原廠委託製造加工者
orphan,段落遺留首行
oscillation,震盪
